Year,Month,Mkt-RF,SMB,HML,RF
1978,May,1.76,4.53,-0.55,0.51
1978,June,-1.69,1.74,0.6,0.54
1978,July,5.12,0.29,-1,0.56
1978,August,3.78,5.06,-0.66,0.56
1978,September,-1.44,-0.49,1.88,0.62
1978,October,-11.9,-9.89,1.26,0.68
1978,November,2.71,3.06,-2.08,0.7
1978,December,0.87,1.19,-2.14,0.78
1979,January,4.22,3.55,2.19,0.77
1979,February,-3.56,0.44,1.17,0.73
1979,March,5.67,3.2,-0.68,0.81
1979,April,-0.07,2.17,1.12,0.8
1979,May,-2.2,0.21,1.32,0.82
1979,June,3.84,1.13,1.42,0.81
1979,July,0.83,1.28,1.79,0.77
1979,August,5.54,1.98,-1.58,0.77
1979,September,-0.83,-0.26,-0.94,0.83
1979,October,-8.1,-3.38,-1.83,0.87
1979,November,5.22,2.81,-3.21,0.99
1979,December,1.78,4.13,-2.13,0.95
1980,January,5.5,1.62,1.85,0.8
1980,February,-1.23,-1.86,0.59,0.89
1980,March,-12.9,-6.7,-0.96,1.21
1980,April,3.95,1.05,1.03,1.26
1980,May,5.26,2.05,0.38,0.81
1980,June,2.98,1.66,-0.8,0.61
1980,July,6.51,4.1,-6.29,0.53
1980,August,1.75,3.9,-2.46,0.64
1980,September,2.19,0.96,-4.61,0.75
1980,October,1.04,2.39,-2.93,0.95
1980,November,9.6,-3.27,-8.11,0.96
1980,December,-4.46,-0.28,2.8,1.31
1981,January,-5.06,2.91,6.74,1.04
1981,February,0.61,-0.47,0.97,1.07
1981,March,3.67,3.34,0.61,1.21
1981,April,-2.16,4.5,2.28,1.08
1981,May,0.13,1.94,-0.43,1.15
1981,June,-2.34,-0.83,5.14,1.35
1981,July,-1.55,-2.07,-0.61,1.24
1981,August,-7.02,-1.95,4.71,1.28
1981,September,-7.19,-2.68,5.11,1.24
1981,October,4.92,2.13,-4.09,1.21
1981,November,3.4,-1.09,1.91,1.07
1981,December,-3.63,1.18,0.79,0.87
1982,January,-3.23,-1.25,3.19,0.8
1982,February,-5.86,0.46,6.09,0.92
1982,March,-1.82,-0.19,3.76,0.98
1982,April,3.24,1.64,-3.08,1.13
1982,May,-3.93,0.17,1.78,1.06
1982,June,-3.08,-0.43,1.56,0.96
1982,July,-3.2,0.91,0.07,1.05
1982,August,11.23,-4.28,1.09,0.76
1982,September,1.31,2.87,0.23,0.51
1982,October,11.3,2.38,-3.62,0.59
1982,November,4.68,4.63,-1.8,0.63
1982,December,0.56,-0.31,-0.06,0.67
1983,January,3.59,2.82,-0.72,0.69
1983,February,2.59,3.18,0.66,0.62
1983,March,2.81,1.75,2.06,0.63
1983,April,6.66,0.46,0.43,0.71
1983,May,0.51,6.2,-1.4,0.69
1983,June,3.07,0.93,-3.89,0.67
1983,July,-4.06,1.5,5.54,0.74
1983,August,-0.5,-4.29,5.59,0.76
1983,September,0.92,0.61,0.99,0.76
1983,October,-3.43,-3.55,4.96,0.76
1983,November,2.17,2.02,-0.73,0.7
1983,December,-1.77,-0.25,1.75,0.73
1984,January,-1.92,-0.35,7.48,0.76
1984,February,-4.77,-1.68,3.41,0.71
1984,March,0.65,0.1,0.53,0.73
1984,April,-0.51,-1.16,1.19,0.81
1984,May,-5.98,0.07,0.26,0.78
1984,June,1.81,-0.24,-2.75,0.75
1984,July,-2.72,-2.2,0.39,0.82
1984,August,10.27,-0.27,-1.74,0.83
1984,September,-0.8,0.15,5.25,0.86
1984,October,-0.84,-1.11,0.59,1
1984,November,-1.77,-0.72,3.87,0.73
1984,December,1.85,-0.48,-0.03,0.64
1985,January,7.97,3.28,-5.2,0.65
1985,February,1.22,0.63,-0.36,0.58
1985,March,-0.83,-1.07,4.01,0.62
1985,April,-0.96,0.09,3.6,0.72
1985,May,5.07,-2.3,-0.98,0.66
1985,June,1.27,0.48,0.38,0.55
1985,July,-0.72,2.83,-1.62,0.62
1985,August,-1.01,-0.3,2.34,0.55
1985,September,-4.51,-1.62,1.21,0.6
1985,October,4,-1.5,0.77,0.65
1985,November,6.46,0.19,-2.91,0.61
1985,December,3.88,-0.53,-1.46,0.65
1986,January,0.65,1.15,0.46,0.56
1986,February,7.14,-0.57,-0.63,0.53
1986,March,4.91,-0.54,-0.39,0.6
1986,April,-1.28,2.76,-2.81,0.52
1986,May,4.62,-1.36,-0.14,0.49
1986,June,1.06,-0.93,1.2,0.52
1986,July,-6.43,-3.43,4.66,0.52
1986,August,6.07,-4.16,3.54,0.46
1986,September,-8.59,2.4,3.23,0.45
1986,October,4.64,-2.53,-1.42,0.46
1986,November,1.17,-1.87,-0.02,0.39
1986,December,-3.26,0.19,0.36,0.49
1987,January,12.45,-1.89,-3.18,0.42
1987,February,4.38,3.45,-5.86,0.43
1987,March,1.63,0.5,1.66,0.47
1987,April,-2.09,-1.72,-0.36,0.44
1987,May,0.11,-0.53,0.22,0.38
1987,June,3.91,-2.03,1.13,0.48
1987,July,3.84,-0.57,0.94,0.46
1987,August,3.52,-0.85,-0.98,0.47
1987,September,-2.58,0.58,0.26,0.45
1987,October,-23.19,-8.27,4.18,0.6
1987,November,-7.76,2.68,3.14,0.35
1987,December,6.82,0.03,-4.42,0.39
1988,January,4.21,-0.75,4.93,0.29
1988,February,4.77,3.33,-1.53,0.46
1988,March,-2.26,6.01,0.86,0.44
1988,April,0.57,0.91,1.51,0.46
1988,May,-0.27,-2.54,2.44,0.51
1988,June,4.78,2.02,-1.35,0.49
1988,July,-1.25,-0.23,2.18,0.51
1988,August,-3.31,0.07,2.14,0.59
1988,September,3.31,-1.34,-0.75,0.62
1988,October,1.16,-2.92,2.03,0.61
1988,November,-2.27,-1.64,1.47,0.57
1988,December,1.48,1.89,-1.83,0.63
1989,January,6.07,-2.19,0.61,0.55
1989,February,-2.23,2.81,0.99,0.61
1989,March,1.57,0.67,0.47,0.67
1989,April,4.35,-0.67,-1.48,0.67
1989,May,3.28,-0.09,-0.9,0.79
1989,June,-1.33,-0.97,2.21,0.71
1989,July,7.18,-4.11,-2.8,0.7
1989,August,1.43,0.57,0.62,0.74
1989,September,-0.76,0.3,-1.27,0.65
1989,October,-3.65,-3.24,-1.16,0.68
1989,November,1.04,-1.19,-1.13,0.69
1989,December,1.18,-2.37,0.15,0.61
1990,January,-7.8,-1.14,0.83,0.57
1990,February,1.12,0.97,0.65,0.57
1990,March,1.83,1.47,-2.9,0.64
1990,April,-3.36,-0.47,-2.57,0.69
1990,May,8.43,-2.56,-3.89,0.68
1990,June,-1.09,1.35,-2,0.63
1990,July,-1.9,-3.08,-0.06,0.68
1990,August,-10.12,-3.5,1.56,0.66
1990,September,-6.11,-3.64,0.59,0.6
1990,October,-1.92,-5.52,0.08,0.68
1990,November,6.35,0.42,-2.97,0.57
1990,December,2.46,0.79,-1.57,0.6
1991,January,4.69,3.78,-1.48,0.52
1991,February,7.19,4.01,-0.62,0.48
1991,March,2.66,3.88,-1.3,0.44
1991,April,-0.28,0.5,1.49,0.53
1991,May,3.66,-0.39,-0.52,0.47
1991,June,-4.94,0.18,1.08,0.42
1991,July,4.24,-0.97,-1.3,0.49
1991,August,2.32,1.58,-0.79,0.46
1991,September,-1.59,1.68,-1.23,0.46
1991,October,1.29,0.77,-0.43,0.42
1991,November,-4.2,-0.51,-1.77,0.39
1991,December,10.85,-2.26,-4.23,0.38
1992,January,-0.59,8.48,4.67,0.34
1992,February,1.08,0.83,6.51,0.28
1992,March,-2.65,-0.97,3.49,0.34
1992,April,1.09,-6.12,4.36,0.32
1992,May,0.3,0.41,1.11,0.28
1992,June,-2.33,-3.1,3.24,0.32
1992,July,3.78,-0.45,-0.51,0.31
1992,August,-2.38,-0.1,-1.09,0.26
1992,September,1.19,0.55,-0.19,0.26
1992,October,1.02,2.11,-1.98,0.23
1992,November,4.14,3.68,-1.52,0.23
1992,December,1.53,1.65,2.64,0.28
1993,January,0.93,1.89,5.9,0.23
1993,February,0.12,-3.39,6.48,0.22
1993,March,2.32,0.29,1.26,0.25
1993,April,-3.05,-0.62,2.55,0.24
1993,May,2.89,2.06,-3.46,0.22
1993,June,0.3,-0.3,2.64,0.25
1993,July,-0.34,0.96,2.87,0.24
1993,August,3.72,0.11,0.18,0.25
1993,September,-0.12,3.09,-0.24,0.26
1993,October,1.42,1.99,-2.78,0.22
1993,November,-1.87,-1.27,-0.78,0.25
1993,December,1.65,1.19,0.25,0.23
1994,January,2.87,0.33,1.1,0.25
1994,February,-2.55,2.76,-1.52,0.21
1994,March,-4.79,-1.08,1.67,0.27
1994,April,0.68,-0.93,1.66,0.27
1994,May,0.58,-2.09,0.6,0.32
1994,June,-3.04,-0.43,1.77,0.31
1994,July,2.82,-1.81,0.61,0.28
1994,August,4.02,1.5,-2.55,0.37
1994,September,-2.28,3.04,-1.81,0.37
1994,October,1.35,-2.16,-1.66,0.38
1994,November,-4.03,0.28,-0.73,0.37
1994,December,0.86,0.17,-0.09,0.44
1995,January,1.8,-3.51,2.59,0.42
1995,February,3.63,-0.61,0.99,0.4
1995,March,2.19,-0.2,-2.13,0.46
1995,April,2.11,-0.51,1.67,0.44
1995,May,2.9,-2.53,2.28,0.54
1995,June,2.72,3.17,-2.54,0.47
1995,July,3.71,2.09,-1.58,0.45
1995,August,0.55,1.31,2.68,0.47
1995,September,3.36,-2.16,-0.11,0.43
1995,October,-1.51,-3.8,-0.49,0.47
1995,November,3.96,-1.12,0.52,0.42
1995,December,1.04,0.66,0.24,0.49
1996,January,2.26,-2.83,0.46,0.43
1996,February,1.33,1.79,-1.05,0.39
1996,March,0.74,1.43,0.42,0.39
1996,April,2.06,5.2,-3.97,0.46
1996,May,2.36,3.2,-0.9,0.42
1996,June,-1.13,-4,2.33,0.4
1996,July,-5.96,-4.3,5.19,0.45
1996,August,2.77,2.45,-0.82,0.41
1996,September,5.01,-1.02,-2.74,0.44
1996,October,0.87,-4.39,4.88,0.42
1996,November,6.25,-4.04,1.4,0.41
1996,December,-1.7,3.12,1.28,0.46
1997,January,4.96,-1.93,-1.44,0.45
1997,February,-0.48,-3.16,5.61,0.39
1997,March,-5.02,-0.33,3.39,0.43
1997,April,4.04,-5.74,0,0.43
1997,May,6.73,5.12,-4.11,0.49
1997,June,4.1,1.21,1.44,0.37
1997,July,7.31,-2.73,0.13,0.43
1997,August,-4.1,7.15,1.13,0.41
1997,September,5.34,2.54,0.24,0.44
1997,October,-3.8,-0.71,2.33,0.42
1997,November,2.99,-5.11,1.22,0.39
1997,December,1.33,-2.48,3.74,0.48
1998,January,0.15,-1.01,-1.68,0.43
1998,February,7.03,0.13,-0.93,0.39
1998,March,4.76,-1.19,1.38,0.39
1998,April,0.74,0.06,1.03,0.43
1998,May,-3.07,-3.4,3.41,0.4
1998,June,3.19,-3.17,-2.03,0.41
1998,July,-2.42,-4.83,-1.83,0.4
1998,August,-16.05,-5.47,3.57,0.43
1998,September,6.19,-0.02,-3.51,0.46
1998,October,6.98,-2.98,-2.33,0.32
1998,November,6.07,1.26,-3.24,0.31
1998,December,6.15,-0.46,-4.25,0.38
1999,January,3.48,0.67,-4.46,0.35
1999,February,-4.08,-6.02,1.95,0.35
1999,March,3.48,-3.84,-2.61,0.43
1999,April,4.34,3.89,2.4,0.37
1999,May,-2.46,3.32,2.49,0.34
1999,June,4.77,3.23,-3.22,0.4
1999,July,-3.49,2.48,-0.18,0.38
1999,August,-1.37,-0.95,-1.93,0.39
1999,September,-2.77,3.12,-2.9,0.39
1999,October,6.09,-6.94,-2.88,0.39
1999,November,3.41,6.87,-5.65,0.36
1999,December,7.66,6.56,-7.66,0.44
2000,January,-4.74,5.16,-1.12,0.41
2000,February,2.46,21.25,-9.77,0.43
2000,March,5.21,-17.41,8.5,0.47
2000,April,-6.39,-6,6.45,0.46
2000,May,-4.39,-6.08,4.59,0.5
2000,June,4.68,12.71,-8.04,0.4
2000,July,-2.48,-2.84,8.06,0.48
2000,August,7.03,-0.5,-1.37,0.5
2000,September,-5.44,-1.74,7.24,0.51
2000,October,-2.78,-3.85,5.58,0.56
2000,November,-10.7,-3.08,12.24,0.51
2000,December,1.18,0.82,7.55,0.5
2001,January,3.25,6.41,-5.05,0.54
2001,February,-10.03,-0.65,12.23,0.38
2001,March,-7.25,0.26,6.47,0.42
2001,April,7.93,0.5,-4.64,0.39
2001,May,0.68,2.48,3.38,0.32
2001,June,-1.94,6.35,-1.26,0.28
2001,July,-2.13,-4.05,4.95,0.3
2001,August,-6.4,2.19,2.86,0.31
2001,September,-9.24,-6.23,1.52,0.28
2001,October,2.48,7.49,-7.31,0.22
2001,November,7.53,-0.57,2.17,0.17
2001,December,1.61,4.72,0.83,0.15
2002,January,-1.44,1.17,3.42,0.14
2002,February,-2.3,-1.08,2.34,0.13
2002,March,4.24,4.09,1.08,0.13
2002,April,-5.21,5.82,4.01,0.15
2002,May,-1.36,-3.27,1.52,0.14
2002,June,-7.23,4.08,0.37,0.13
2002,July,-8.19,-5.25,-3.51,0.15
2002,August,0.5,-2.8,3.01,0.14
2002,September,-10.34,2.42,1.26,0.14
2002,October,7.84,-3.4,-3.76,0.14
2002,November,5.96,3.26,-1.16,0.12
2002,December,-5.76,-0.04,2.11,0.11
2003,January,-2.57,1.34,-0.79,0.1
2003,February,-1.88,-0.44,-1.36,0.09
2003,March,1.09,1.17,-2.11,0.1
2003,April,8.18,0.76,1.22,0.1
2003,May,6.05,4.61,0.7,0.09
2003,June,1.42,1.7,0.14,0.1
2003,July,2.33,4.93,-1.53,0.07
2003,August,2.33,2.44,1.64,0.07
2003,September,-1.24,0.85,0.14,0.08
2003,October,6.08,2.59,2.21,0.07
2003,November,1.35,2.06,1.72,0.07
2003,December,4.29,-2.68,1.51,0.08
2004,January,2.15,2.54,2.42,0.07
2004,February,1.4,-1.57,0.95,0.06
2004,March,-1.32,1.73,0.23,0.09
2004,April,-1.81,-1.73,-3.23,0.08
2004,May,1.18,-0.23,-0.18,0.06
2004,June,1.85,2.25,1.21,0.08
2004,July,-4.04,-3.76,3.22,0.1
2004,August,0.07,-1.52,1.08,0.11
2004,September,1.6,3.01,-0.05,0.11
2004,October,1.42,0.13,-0.26,0.11
2004,November,4.53,3.74,1.57,0.15
2004,December,3.42,-0.03,-0.23,0.16
2005,January,-2.75,-1.66,2.06,0.16
2005,February,1.88,-0.57,1.41,0.16
2005,March,-1.94,-1.41,2.07,0.21
2005,April,-2.61,-3.93,0.05,0.21
2005,May,3.65,2.86,-0.58,0.24
2005,June,0.58,2.56,2.8,0.23
2005,July,3.92,2.87,-0.78,0.24
2005,August,-1.2,-1.07,1.34,0.3
2005,September,0.48,-0.62,0.78,0.29
2005,October,-2.04,-1.3,0.43,0.27
2005,November,3.61,1.05,-1.18,0.31
2005,December,-0.24,-0.44,0.15,0.32
2006,January,3.03,5.46,0.99,0.35
2006,February,-0.3,-0.41,-0.31,0.34
2006,March,1.47,3.39,0.61,0.37
2006,April,0.73,-1.38,2.26,0.36
2006,May,-3.56,-3.01,2.38,0.43
2006,June,-0.35,-0.35,0.85,0.4
2006,July,-0.77,-3.95,2.62,0.4
2006,August,2.03,0.99,-1.95,0.42
2006,September,1.84,-1.3,0.06,0.41
2006,October,3.22,1.77,-0.33,0.41
2006,November,1.7,0.63,0.04,0.42
2006,December,0.85,-1.16,2.74,0.4
2007,January,1.38,0.09,-0.68,0.44
2007,February,-1.96,1.23,-0.08,0.38
2007,March,0.71,0.09,-0.88,0.43
2007,April,3.49,-2.21,-1.44,0.44
2007,May,3.23,0.16,-0.59,0.41
2007,June,-1.96,0.73,-1.05,0.4
2007,July,-3.72,-2.66,-3.68,0.4
2007,August,0.94,-0.11,-1.87,0.42
2007,September,3.22,-2.25,-2.17,0.32
2007,October,1.79,0.19,-2.87,0.32
2007,November,-4.8,-2.81,-1.09,0.34
2007,December,-0.87,0.11,-0.51,0.27
2008,January,-6.33,-1.02,4,0.21
2008,February,-3.09,-0.48,-0.72,0.13
2008,March,-0.94,0.71,0.31,0.17
2008,April,4.61,-1.69,-0.96,0.18
2008,May,1.87,2.97,-1.5,0.18
2008,June,-8.43,1.15,-2.51,0.17
2008,July,-0.75,2.6,5.2,0.15
2008,August,1.53,3.4,1.52,0.13
2008,September,-9.35,-1.07,5.66,0.15
2008,October,-17.2,-2.31,-1.89,0.08
2008,November,-7.74,-3.01,-6.21,0.03
2008,December,1.77,3.52,0.05,0
2009,January,-8.09,0.04,-11.02,0
2009,February,-10.14,0.14,-6.6,0.01
2009,March,9.01,-0.1,3.48,0.02
2009,April,10.17,5.4,5.38,0.01
2009,May,5.21,-2.41,0.41,0
2009,June,0.42,2.58,-2.76,0.01
2009,July,7.74,1.75,4.89,0.01
2009,August,3.33,-1.12,7.6,0.01
2009,September,4.08,2.43,1.15,0.01
2009,October,-2.53,-4.26,-4.17,0
2009,November,5.63,-2.5,-0.33,0
2009,December,2.8,6.01,-0.11,0.01
2010,January,-3.35,0.43,0.33,0
2010,February,3.39,1.18,3.18,0
2010,March,6.3,1.46,2.19,0.01
2010,April,1.99,4.84,2.96,0.01
2010,May,-7.9,0.13,-2.48,0.01
2010,June,-5.56,-1.79,-4.73,0.01
2010,July,6.92,0.22,-0.5,0.01
2010,August,-4.78,-3.01,-1.73,0.01
2010,September,9.55,3.82,-3.02,0.01
2010,October,3.87,1.08,-2.46,0.01
2010,November,0.59,3.67,-0.9,0.01
2010,December,6.82,0.72,3.56,0.01
2011,January,1.98,-2.29,0.61,0.01
2011,February,3.48,1.5,1.18,0.01
2011,March,0.45,2.49,-1.84,0.01
2011,April,2.9,-0.42,-2.44,0
2011,May,-1.27,-0.73,-1.85,0
2011,June,-1.74,-0.27,-0.2,0
2011,July,-2.35,-1.17,-0.91,0
2011,August,-5.96,-2.96,-2.43,0.01
2011,September,-7.58,-3.12,-1.53,0
2011,October,11.33,3.05,0.06,0
2011,November,-0.27,-0.18,-0.52,0
2011,December,0.75,-0.56,1.54,0
2012,January,5.05,2.01,-0.93,0
2012,February,4.42,-1.84,0.42,0
2012,March,3.12,-0.63,1.19,0
2012,April,-0.85,-0.37,-0.77,0
2012,May,-6.17,0.12,-0.95,0.01
2012,June,3.89,0.72,0.55,0
2012,July,0.79,-2.76,-0.06,0
2012,August,2.54,0.5,1.23,0.01
2012,September,2.73,0.45,1.62,0.01
2012,October,-1.76,-1.09,3.52,0.01
2012,November,0.78,0.6,-0.86,0.01
2012,December,1.18,1.5,3.48,0.01
2013,January,5.57,0.29,1.01,0
2013,February,1.28,-0.3,0.21,0
2013,March,4.04,0.83,-0.22,0
2013,April,1.56,-2.37,0.44,0
2013,May,2.8,1.7,2.67,0
2013,June,-1.2,1.31,-0.05,0
2013,July,5.65,1.81,0.58,0
2013,August,-2.71,0.32,-2.73,0
2013,September,3.77,2.89,-1.18,0
2013,October,4.17,-1.56,1.22,0
2013,November,3.11,1.31,0.19,0
2013,December,2.81,-0.44,0,0
2014,January,-3.32,0.93,-1.99,0
2014,February,4.66,0.36,-0.35,0
2014,March,0.43,-1.86,4.9,0
2014,April,-0.18,-4.18,1.22,0
2014,May,2.05,-1.85,-0.1,0
2014,June,2.6,3.05,-0.71,0
2014,July,-2.03,-4.18,-0.08,0
2014,August,4.24,0.41,-0.57,0
2014,September,-1.96,-3.59,-1.47,0
2014,October,2.51,4.05,-1.63,0
2014,November,2.56,-2.05,-3.13,0
2014,December,-0.05,2.53,2.12,0
2015,January,-3.1,-0.59,-3.45,0
2015,February,6.13,0.61,-1.79,0
2015,March,-1.11,3.05,-0.38,0
2015,April,0.59,-2.99,1.8,0
2015,May,1.37,0.95,-1.11,0
2015,June,-1.52,2.94,-0.82,0
2015,July,1.57,-4.17,-4.16,0
2015,August,-6.02,0.37,2.75,0
2015,September,-3.06,-2.63,0.55,0
2015,October,7.75,-1.9,-0.47,0
2015,November,0.57,3.58,-0.43,0
2015,December,-2.15,-2.8,-2.57,0.01
2016,January,-5.74,-3.4,2.08,0.01
2016,February,-0.06,0.73,-0.61,0.02
2016,March,6.95,0.75,1.22,0.02
2016,April,0.92,0.77,3.22,0.01
2016,May,1.78,-0.18,-1.62,0.01
2016,June,-0.03,0.6,-1.49,0.02
2016,July,3.94,2.45,-1.24,0.02
2016,August,0.49,1.17,3.17,0.02
2016,September,0.27,2.08,-1.19,0.02
2016,October,-2.01,-4.39,4.11,0.02
2016,November,4.86,5.6,8.29,0.01
2016,December,1.81,0.14,3.47,0.03
2017,January,1.94,-1.16,-2.76,0.04
2017,February,3.55,-2.15,-1.5,0.04
2017,March,0.17,1.13,-3.33,0.03
2017,April,1.08,0.66,-2.05,0.05
2017,May,1.07,-2.52,-3.82,0.06
2017,June,0.79,2.21,1.5,0.06
2017,July,1.88,-1.45,-0.23,0.07
2017,August,0.18,-1.67,-2.13,0.09
2017,September,2.49,4.45,3.15,0.09
2017,October,2.26,-1.93,0.13,0.09
2017,November,3.12,-0.6,-0.09,0.08
2017,December,1.06,-1.32,0.05,0.09
2018,January,5.58,-3.16,-1.32,0.11
2018,February,-3.64,0.27,-1.1,0.11
2018,March,-2.35,4.05,-0.21,0.12
2018,April,0.27,1.09,0.53,0.14
2018,May,2.66,5.24,-3.14,0.14
2018,June,0.49,1.11,-2.33,0.14
2018,July,3.2,-2.23,0.49,0.16
2018,August,3.45,1.14,-3.91,0.16
2018,September,0.06,-2.29,-1.62,0.15
2018,October,-7.65,-4.7,3.38,0.19
2018,November,1.71,-0.73,0.36,0.18
2018,December,-9.55,-2.31,-1.92,0.19
2019,January,8.37,2.76,-0.39,0.21
2019,February,3.42,2.05,-2.66,0.18
2019,March,1.1,-3.03,-4.14,0.19
2019,April,3.97,-1.74,2.13,0.21
2019,May,-6.92,-1.26,-2.45,0.21
2019,June,6.92,0.26,-0.64,0.18
2019,July,1.23,-1.96,0.5,0.19
2019,August,-2.55,-2.39,-4.77,0.16
2019,September,1.41,-0.97,6.76,0.18
2019,October,2.07,0.27,-1.92,0.15
2019,November,3.87,0.72,-2,0.12
2019,December,2.77,0.76,1.73,0.14
2020,January,-0.11,-3.1,-6.22,0.13
2020,February,-8.15,1.08,-3.82,0.12
2020,March,-13.37,-4.69,-13.83,0.12
2020,April,13.6,2.5,-1.34,0
2020,May,5.57,2.4,-5,0.01
2020,June,2.45,2.67,-2.17,0.01
2020,July,5.83,-2.35,-1.44,0.01
2020,August,7.62,-0.2,-3.02,0.01
2020,September,-3.64,0.06,-2.72,0.01
2020,October,-2.08,4.34,4.25,0.01
2020,November,12.45,5.81,2.09,0.01
2020,December,4.63,5.01,-1.68,0.01
2021,January,-0.07,7.14,3.22,0
2021,February,2.81,2.02,7.2,0
2021,March,3.16,-2.33,7.35,0
2021,April,4.95,-3.19,-1.02,0
2021,May,0.3,-0.2,7.04,0
2021,June,2.74,1.7,-7.86,0
2021,July,1.34,-3.93,-1.79,0
2021,August,2.94,-0.32,-0.23,0
2021,September,-4.4,0.66,5.12,0
2021,October,6.63,-2.27,-0.53,0
2021,November,-1.58,-1.31,-0.37,0
2021,December,3.23,-1.63,3.26,0.01
2022,January,-6.16,-5.93,12.86,0
2022,February,-2.28,2.16,3.06,0
2022,March,3.08,-1.55,-1.9,0
2022,April,-9.41,-1.35,6.18,0
2022,May,-0.34,-1.84,8.44,0.03
2022,June,-8.4,2.07,-6,0.06
2022,July,9.57,2.84,-4.15,0.08
2022,August,-3.77,1.41,0.18,0.19
2022,September,-9.34,-0.76,0.03,0.19
2022,October,7.85,0.01,7.97,0.23
2022,November,4.65,-3.57,1.48,0.29
2022,December,-6.38,-0.76,1.34,0.33
2023,January,6.61,5.01,-3.94,0.35
2023,February,-2.57,1.05,-0.8,0.34
2023,March,2.48,-5.48,-9.05,0.36
2023,April,0.62,-3.37,-0.12,0.35
2023,May,0.34,1.6,-7.79,0.36
2023,June,6.46,1.49,-0.13,0.4
2023,July,3.21,2.05,4.06,0.45
2023,August,-2.36,-3.14,-1.15,0.45
2023,September,-5.23,-2.51,1.49,0.43
2023,October,-3.15,-3.86,0.2,0.47
2023,November,8.88,-0.1,1.67,0.44
2023,December,4.85,6.3,4.89,0.43
2024,January,0.73,-5.07,-2.38,0.47
2024,February,5.07,-0.24,-3.43,0.42
2024,March,2.84,-2.5,4.16,0.43
2024,April,-4.65,-2.37,-0.45,0.47
2024,May,4.33,0.55,-1.31,0.44
2024,June,2.8,-3,-3.36,0.41
2024,July,1.22,6.81,5.62,0.45
2024,August,1.6,-3.49,-1.1,0.48
2024,September,1.72,-0.13,-2.77,0.4
2024,October,-1,-0.99,0.86,0.39
2024,November,6.49,4.46,0.15,0.4
2024,December,-3.17,-2.71,-3,0.37
2025,January,2.8,-1.97,1.63,0.37
2025,February,-2.44,-5.79,4.91,0.33
2025,March,-6.39,-2.76,2.9,0.34
2025,April,-0.84,-0.59,-3.4,0.35
2025,May,6.06,0.7,-2.88,0.38
2025,June,4.86,0.83,-1.6,0.34
2025,July,1.98,0.27,-1.27,0.34
2025,August,1.85,3.87,4.41,0.38
