Year,Month,M1B1,M1B2,M1B3,M2B1,M2B2,M2B3
1933,July,-14.1822,-12.9067,-7.2303,-8.8686,-13.05,-9.2208
1933,August,10.569,10.7847,8.4113,10.6043,15.7659,18.8615
1933,September,-7.6533,-14.1547,-20.8876,-9.2015,-12.367,-19.387
1933,October,-8.5144,-12.2961,-14.0569,-6.3139,-10.6053,-17.7448
1933,November,4.4638,5.074,6.1167,9.8065,12.2751,12.6924
1933,December,5.0006,3.6664,-0.23,2.0984,1.9147,3.3523
1934,January,21.5284,29.3172,39.6638,9.8831,16.8498,24.1475
1934,February,-0.2803,1.2724,4.8488,-2.3977,-3.1133,-3.8113
1934,March,4.546,2.0763,-0.0115,-0.0073,-0.1257,-0.6204
1934,April,3.1184,-1.8616,-1.7047,-1.7839,-2.2223,-4.6232
1934,May,-7.3885,-10.0323,-12.0918,-6.4137,-8.6543,-13.5106
1934,June,3.7446,-0.1019,-2.1893,2.6294,2.5084,2.8634
1934,July,-18.0458,-21.8587,-24.6948,-8.322,-11.7435,-23.1877
1934,August,10.9241,10.46,11.5686,6.0711,4.452,5.7691
1934,September,-0.9105,-0.6349,-3.484,-0.2585,-0.179,-0.105
1934,October,-0.9454,-1.8207,-3.9835,-0.4122,-2.6579,-7.3683
1934,November,17.4233,15.5321,12.7483,10.256,4.9943,10.6573
1934,December,4.9397,2.3358,1.6042,0.7547,0.5328,-2.2372
1935,January,-5.5571,-3.5011,-3.0465,-3.0128,-2.903,-9.059
1935,February,-3.727,-4.8077,-6.3227,-0.8698,-1.7076,-13.2262
1935,March,-5.9444,-7.1747,-11.3386,-3.0811,-3.3274,-7.7499
1935,April,6.724,9.1812,10.5543,8.1601,9.9742,13.0598
1935,May,-2.2606,2.2542,1.8154,3.1254,4.3322,3.9559
1935,June,5.5938,6.0268,0.839,6.3747,5.6069,8.0813
1935,July,9.5111,13.2494,13.3415,7.1893,6.3232,16.5222
1935,August,3.6266,8.3004,14.5514,2.3022,2.1973,3.955
1935,September,5.0702,5.5139,0.4703,4.6782,0.6687,1.0452
1935,October,11.0823,10.6544,6.9368,6.6053,7.9845,6.0823
1935,November,6.8488,10.4071,19.7932,3.0299,5.6031,14.4767
1935,December,5.8212,10.1247,1.7938,2.9772,5.8162,8.6613
1936,January,10.6847,7.737,23.5566,3.2972,9.5391,12.333
1936,February,2.3171,6.5379,5.6394,1.9178,2.8034,7.265
1936,March,0.2298,2.3986,0.8801,2.607,0.0482,-1.2306
1936,April,-14.1272,-14.0963,-15.5268,-7.1374,-8.3511,-10.2999
1936,May,5.0607,5.5381,8.7363,5.0582,5.112,6.4847
1936,June,-2.1454,-0.3281,-1.1537,3.6373,2.1446,0.2592
1936,July,10.6157,7.5798,9.3731,5.9186,6.2246,12.2299
1936,August,0.6504,2.3874,4.1959,0.2938,0.7746,4.3381
1936,September,2.206,5.0395,4.4692,0.829,1.0643,0.4526
1936,October,3.7236,6.5239,6.5179,6.3806,8.8091,8.6113
1936,November,10.8582,9.0589,12.2081,3.3668,3.1551,-0.4836
1936,December,2.116,3.4612,7.5173,-1.8442,2.3054,1.0334
1937,January,7.2397,7.4778,10.1026,3.6264,1.398,6.3189
1937,February,3.2507,1.6143,4.6089,-0.2105,0.7914,6.987
1937,March,-2.9743,0.0063,3.3096,-1.7393,-0.2171,6.0555
1937,April,-10.1352,-11.649,-13.1058,-6.8244,-6.1222,-10.7727
1937,May,-0.4307,-0.9621,-4.121,0.2491,-0.717,-2.9875
1937,June,-7.6608,-7.782,-10.6147,-4.1623,-2.718,-7.4491
1937,July,10.9525,9.041,10.7982,9.2041,7.9659,10.9747
1937,August,-4.653,-5.0176,-5.5971,-4.2376,-4.601,-7.7857
1937,September,-20.8956,-21.1072,-23.0745,-12.368,-12.4198,-19.2962
1937,October,-10.7922,-10.1158,-9.7359,-10.1766,-7.5623,-14.2683
1937,November,-11.5043,-12.074,-11.7428,-8.7911,-7.7134,-8.1223
1937,December,-14.3487,-10.7061,-12.6143,-4.1614,-2.9243,-6.833
1938,January,4.9665,6.0542,3.8517,1.308,-0.324,-0.6399
1938,February,8.4216,5.7327,4.8697,6.3953,5.3849,6.0154
1938,March,-30.1064,-29.1408,-30.4414,-23.6453,-22.5544,-30.5784
1938,April,21.8953,20.6654,20.8018,13.8643,14.436,15.8651
1938,May,-7.475,-7.7358,-5.5145,-3.583,-3.6945,-6.0246
1938,June,31.2331,30.6919,27.6313,25.7849,20.9969,30.1194
1938,July,13.4112,14.4927,15.514,6.773,7.3491,9.2222
1938,August,-4.5955,-5.1147,-9.4011,-0.4286,-6.0541,-5.1819
1938,September,-1.7235,-2.4939,-2.7807,1.3736,0.6392,-0.966
1938,October,14.0669,14.7581,16.9041,6.9341,7.196,14.1787
1938,November,-5.1989,-2.6745,-5.8897,-1.1594,-2.069,-2.8723
1938,December,6.0307,3.743,1.5146,3.2891,4.5426,8.8779
1939,January,-8.0522,-8.9263,-10.1444,-5.2736,-6.2209,-11.0153
1939,February,3.9053,5.0704,6.2924,3.4364,3.1005,6.895
1939,March,-17.8458,-18.5273,-22.8623,-9.8525,-13.736,-21.3839
1939,April,-0.4844,0.1331,1.9784,-0.1303,-0.0587,-3.1957
1939,May,11.3132,9.0429,9.8728,6.9006,5.6399,9.2792
1939,June,-6.8685,-7.9239,-10.6791,-4.4128,-6.6245,-11.1578
1939,July,15.7596,16.6937,13.6007,11.3239,8.4513,13.7348
1939,August,-12.2845,-12.0093,-12.6408,-6.3263,-5.9285,-10.9028
